	Nouns	Verbs																															
Frequency at syllable #2:	34	38					ph% #5:	0	0.021739130434783																								
Frequency at syllable #3:	19	12					ph% #6:	0	0																								
Frequency at syllable #4:	7	5					d% #1:	0.252525252525252	0.275862068965517																								
Frequency at syllable #5:	3	1					d% #2:	0.282828282828283	0.620689655172414																								
Frequency at syllable #6:	0	0					d% #3:	0.242424242424242	0.103448275862069																								
kh frequency:	57	31					d% #4:	0.202020202020202	0																								
kh percentage of total phonemes:	0.94	1.12					d% #5:	0.02020202020202	0																								
Frequency at syllable #1:	26	13					d% #6:	0	0																								
Frequency at syllable #2:	23	12					t% #1:	0.238805970149254	0.411764705882353																								
Frequency at syllable #3:	6	4					t% #2:	0.41044776119403	0.470588235294118																								
Frequency at syllable #4:	2	1					t% #3:	0.276119402985075	0.117647058823529																								
Frequency at syllable #5:	0	1					t% #4:	0.074626865671642	0																								
Frequency at syllable #6:	0	0					t% #5:	0	0																								
gw frequency:	13	1					t% #6:	0	0																								
gw percentage of total phonemes:	0.21	0.04					th% #1:	0.235294117647059	0.430555555555556																								
Frequency at syllable #1:	3	1					th% #2:	0.470588235294118	0.416666666666667																								
Frequency at syllable #2:	6	0					th% #3:	0.176470588235294	0.138888888888889																								
Frequency at syllable #3:	2	0					th% #4:	0.088235294117647	0.013888888888889																								
Frequency at syllable #4:	1	0					th% #5:	0.029411764705882	0																								
Frequency at syllable #5:	1	0					th% #6:	0	0																								
Frequency at syllable #6:	0	0					g% #1:	0.432	0.53125																								
kw frequency:	45	28					g% #2:	0.304	0.46875																								
kw percentage of total phonemes:	0.74	1.01					g% #3:	0.152	0																								
Frequency at syllable #1:	10	10					g% #4:	0.088	0																								
Frequency at syllable #2:	16	10					g% #5:	0.008	0																								
Frequency at syllable #3:	10	7					g% #6:	0.016	0																								
Frequency at syllable #4:	8	1					k% #1:	0.382352941176471	0.785714285714286																								
Frequency at syllable #5:	1	0					k% #2:	0.333333333333333	0.178571428571429																								
Frequency at syllable #6:	0	0					k% #3:	0.186274509803922	0																								
khw frequency:	12	4					k% #4:	0.068627450980392	0.035714285714286																								
khw percentage of total phonemes:	0.2	0.14					k% #5:	0.029411764705882	0																								
Frequency at syllable #1:	4	2					k% #6:	0	0																								
Frequency at syllable #2:	8	1					kh% #1:	0.456140350877193	0.341176470588235																								
Frequency at syllable #3:	0	1					kh% #2:	0.403508771929825	0.447058823529412																								
Frequency at syllable #4:	0	0					kh% #3:	0.105263157894737	0.141176470588235																								
Frequency at syllable #5:	0	0					kh% #4:	0.035087719298246	0.058823529411765																								
Frequency at syllable #6:	0	0					kh% #5:	0	0.011764705882353																								
z frequency:	17	4					kh% #6:	0	0																								
z percentage of total phonemes:	0.28	0.14					gw% #1:	0.230769230769231	0.419354838709678																								
Frequency at syllable #1:	4	1					gw% #2:	0.461538461538462	0.387096774193548																								
Frequency at syllable #2:	8	3					gw% #3:	0.153846153846154	0.129032258064516																								
Frequency at syllable #3:	4	0					gw% #4:	0.076923076923077	0.032258064516129																								
Frequency at syllable #4:	1	0					gw% #5:	0.076923076923077	0.032258064516129																								
Frequency at syllable #5:	0	0					gw% #6:	0	0																								
Frequency at syllable #6:	0	0					kw% #1:	0.222222222222222	1																								
ts frequency:	13	9					kw% #2:	0.355555555555556	0																								
